school,code
"UC Santa Barbara",UCSB20
"CU Boulder",CUBOULDER20
"Worcester Polytechnic Institute",WPI20
"Rochester Institute of Technology",RIT20
"Wayne State University",WAYNESTATE20
"University of Nebraska-Lincoln",UNL20
"Syracuse University",SYRACUSE20
"Marquette University",MARQUETTE20
"Saint Louis University",SLU20
"Texas Christian University",TCU20
"Kennesaw State University",KENNESAW20
"Florida Atlantic University",FAU20
"NC State University",NCSTATE20
"University of Alabama Birmingham",UAB20
"Mississippi State University",MSSTATE20
"University of Mississippi",OLEMISS20
"Georgia Southern University",GASOUTHERN20
"University of South Carolina",USC_SC20
"Oklahoma State University",OKSTATE20
"University of Arkansas",ARKANSAS20
"University of Nevada Reno",UNR20
"UNLV",UNLV20
"Colorado School of Mines",MINES20
"Washington State University",WSU20
"University of North Texas",UNT20
"Missouri University of Science and Technology",MISSOURIST20
"Ohio University",OHIOU20
"Michigan Technological University",MICHIGANTECH20
"Embry-Riddle Aeronautical University",EMBRYRIDDLE20
"University of New Mexico",UNM20
"Boise State University",BOISESTATE20
"University of Idaho",IDAHO20
"Wichita State University",WICHITASTATE20
"Louisiana Tech University",LATECH20
"University of Toledo",TOLEDO20
"Grand Valley State University",GVSU20
"Central Michigan University",CMICH20
"Oakland University",OAKLANDU20
"Milwaukee School of Engineering",MSOE20
"North Dakota State University",NDSU20
"Northeastern University",NORTHEASTERN20
"Rutgers University",RUTGERS20
"PennApps",PENNAPPS20
"HopHacks",HOPHACKS20
"DubHacks",DUBHACKS20
"TreeHacks",TREEHACKS20
"MHacks",MHACKS20
"HackPrinceton",HACKPRINCETON20
"BigRed//Hacks",BIGREDHACKS20
"YHack",YHACK20
"LA Hacks",LAHACKS20
"HackIllinois",HACKILLINOIS20
"HackTX",HACKTX20
"Hack@Brown",HACKBROWN20
"HackRPI",HACKRPI20
"HackUMass",HACKUMASS20
"VandyHacks",VANDYHACKS20
"HackNC",HACKNC20
"SB Hacks",SBHACKS20
"HackWashU",HACKWASHU20
"CruzHacks",CRUZHACKS20
"Stony Brook University",STONYBROOK20
"Binghamton University",BINGHAMTON20
"NYU Tandon School of Engineering",NYUTANDON20
"UMBC",UMBC20
"George Mason University",GMU20
"James Madison University",JMU20
"Virginia Commonwealth University",VCU20
"Howard University",HOWARD20
"University of Richmond",RICHMOND20
"Wake Forest University",WAKEFOREST20
"UNC Charlotte",UNCC20
"East Carolina University",ECU20
"College of Charleston",COFC20
"NC A&T State University",NCAT20
"LSU",LSU20
"Xavier University of Louisiana",XULA20
"University of Louisiana Lafayette",ULLAFAYETTE20
"Texas State University",TXSTATE20
"UT Dallas",UTDALLAS20
"UT Arlington",UTARLINGTON20
"Texas Tech University",TEXASTECH20
"Trinity University San Antonio",TRINITYSA20
"Sam Houston State University",SHSU20
"Rose-Hulman Institute of Technology",ROSEHULMAN20
"Butler University",BUTLER20
"Valparaiso University",VALPO20
"University of Dayton",DAYTON20
"Miami University Ohio",MIAMIOH20
"University of Akron",AKRON20
"Cleveland State University",CLEVELANDSTATE20
"Calvin University",CALVIN20
"Michigan State University",MSU20
"Santa Clara University",SCU20
"Loyola Marymount University",LMU20
"San Jose State University",SJSU20
"Cal Poly San Luis Obispo",CALPOLYSLO20
"Chapman University",CHAPMAN20
"Harvey Mudd College",HARVEYMUDD20
"Gonzaga University",GONZAGA20
"Seattle University",SEATTLEU20
"University of Portland",PORTLAND20
"University of San Francisco",USF_CA20
"Bentley University",BENTLEY20
"Babson College",BABSON20
"Worcester State University",WORCESTERSTATE20
"UMass Lowell",UMASSLOWELL20
"Bryant University",BRYANT20
"Roger Williams University",RWU20
"Quinnipiac University",QUINNIPIAC20
"University of Vermont",UVM20
"Clarkson University",CLARKSON20
"Union College Schenectady",UNIONCOLLEGE20
"Ithaca College",ITHACA20
"Hofstra University",HOFSTRA20
"Manhattan College",MANHATTANCOLLEGE20
"CUNY City College",CCNY20
"Pace University",PACE20
"Villanova University",VILLANOVA20
"Lehigh University",LEHIGH20
"Temple University",TEMPLE20
"Bucknell University",BUCKNELL20
"Lafayette College",LAFAYETTE20
"Widener University",WIDENER20
"Duquesne University",DUQUESNE20
"Towson University",TOWSON20
"Salisbury University",SALISBURY20
"Christopher Newport University",CNU20
"Old Dominion University",ODU20
"Radford University",RADFORD20
"Appalachian State University",APPSTATE20
"Elon University",ELON20
"Winthrop University",WINTHROP20
"Coastal Carolina University",COASTAL20
"Furman University",FURMAN20
"University of Central Arkansas",UCA20
"Georgetown University",GEORGETOWN20
"George Washington University",GWU20
"University of Nebraska Omaha",UNOMAHA20
"Creighton University",CREIGHTON20
"Xavier University Cincinnati",XAVIERCIN20
"Baldwin Wallace University",BALDWINWALLACE20
"Oberlin College",OBERLIN20
"Western Michigan University",WMU20
"DePaul University",DEPAULU20
"Northern Illinois University",NIU20
"Bradley University",BRADLEY20
"Southern Illinois University Carbondale",SIUC20
"Indiana State University",INDIANASTATE20
"IUPUI IU Indianapolis",IUPUI20
"University of Evansville",EVANSVILLE20
"Drake University",DRAKE20
"Simpson College",SIMPSON20
"Grinnell College",GRINNELL20
"Macalester College",MACALESTER20
"Minnesota State University Mankato",MNSU20
