school,tier,contact_type,contact_name,email,discount_code,confidence,source_url,status,sent_at,notes
Illinois Institute of Technology,mid,career-center,—,careerservices@illinoistech.edu,IIT10,verified,https://www.iit.edu/career-services,sent,,
Marquette University,mid,career-center,—,industryrelations@marquette.edu,MARQUETTE20,verified,https://www.marquette.edu/career-center/about-us/,sent,,
Saint Louis University,mid,career-center,—,career_services@slu.edu,SLU20,verified,https://www.slu.edu/life-at-slu/career-services/index.php,sent,,
Texas Christian University,mid,career-center,—,careers@tcu.edu,TCU20,verified,https://careers.tcu.edu/,sent,,
Kennesaw State University,mid,dept,—,ccseadvising@kennesaw.edu,KENNESAW20,verified,https://kennesaw.edu/ccse/about/contact-us.php,sent,,
Florida Atlantic University,mid,career-center,—,engineering-services@fau.edu,FAU20,verified,https://www.fau.edu/engineering/case/career/,sent,,
NC State University,mid,dept,—,engineering@ncsu.edu,NCSTATE20,verified,https://engr.ncsu.edu/careerfair/,sent,,
University of Alabama Birmingham,mid,career-center,—,careerservices@uab.edu,UAB20,verified,https://www.uab.edu/students/careercenter/about/contact,sent,,
Mississippi State University,mid,career-center,—,coop@career.msstate.edu,MSSTATE20,verified,https://www.career.msstate.edu/,sent,,
University of Mississippi,mid,career-center,—,office@career.olemiss.edu,OLEMISS20,verified,https://career.olemiss.edu/,sent,,
Georgia Southern University,mid,career-center,—,ocpd@georgiasouthern.edu,GASOUTHERN20,verified,https://academics.georgiasouthern.edu/career/our-office/contact-us,sent,,
University of South Carolina,mid,career-center,—,career@sc.edu,USC_SC20,verified,https://sc.edu/about/offices_and_divisions/career_center/about_the_career_center/contact/index.php,sent,,
University of Oklahoma,mid,career-center,—,careercenter@ou.edu,OU10,verified,https://www.ou.edu/career/about,sent,,
Oklahoma State University,mid,career-center,—,careers@okstate.edu,OKSTATE20,verified,https://careerservices.okstate.edu/,sent,,
University of Arkansas,mid,career-center,—,career@uark.edu,ARKANSAS20,verified,https://career.uark.edu/,sent,,
University of Nevada Reno,mid,career-center,—,EngineeringCareers@unr.edu,UNR20,verified,https://www.unr.edu/engineering/student-resources/careers,sent,,
UNLV,mid,career-center,—,CareerServices@unlv.edu,UNLV20,verified,https://www.unlv.edu/career-services-workforce-dev/contact,sent,,
Colorado School of Mines,mid,career-center,—,careercenter@mines.edu,MINES20,verified,https://careers.mines.edu/contact/,sent,,
Washington State University,mid,dept,—,vcea.info@wsu.edu,WSU20,verified,https://vcea.wsu.edu/student-success/internships-careers/,sent,,
University of North Texas,mid,career-center,—,career.center@unt.edu,UNT20,verified,https://careercenter.unt.edu/,sent,,
Missouri University of Science and Technology,mid,career-center,—,career@mst.edu,MISSOURIST20,verified,https://career.mst.edu/,sent,,
Ohio University,mid,career-center,—,russcareerservices@ohio.edu,OHIOU20,verified,https://www.ohio.edu/engineering/academics/internships-careers,sent,,
Michigan Technological University,mid,career-center,—,career@mtu.edu,MICHIGANTECH20,verified,https://www.mtu.edu/career/connect/about/contact/,sent,,
Embry-Riddle Aeronautical University,mid,career-center,—,careers@erau.edu,EMBRYRIDDLE20,verified,https://careerservices.erau.edu/contact,sent,,
University of New Mexico,mid,career-center,—,career4u@unm.edu,UNM20,verified,https://career.unm.edu/students--alumni/school-of-engineering.html,sent,,
Boise State University,mid,career-center,—,career@boisestate.edu,BOISESTATE20,verified,https://www.boisestate.edu/career/about-us/,sent,,
University of Idaho,mid,career-center,—,engr-sss@uidaho.edu,IDAHO20,verified,https://www.uidaho.edu/engr/services/student-services/career-services,sent,,
Wichita State University,mid,career-center,—,SCA@wichita.edu,WICHITASTATE20,verified,https://www.wichita.edu/student_life/careerdevelopment/students.php,sent,,
Louisiana Tech University,mid,career-center,—,CareerCenter@LATech.edu,LATECH20,verified,https://www.latech.edu/career-center/,sent,,
University of Toledo,mid,career-center,—,RocketCareerCenter@utoledo.edu,TOLEDO20,verified,https://www.utoledo.edu/career/,sent,,
Grand Valley State University,mid,career-center,—,careers@gvsu.edu,GVSU20,verified,https://www.gvsu.edu/careers/,sent,,
Central Michigan University,mid,career-center,—,careers@cmich.edu,CMICH20,verified,https://www.cmich.edu/offices-departments/career-development-center,sent,,
Oakland University,mid,career-center,—,careers@oakland.edu,OAKLANDU20,verified,https://oakland.edu/careerservices/,sent,,
Milwaukee School of Engineering,mid,career-center,—,career-connections-center@msoe.edu,MSOE20,verified,https://www.msoecareerconnections.com/,sent,,
North Dakota State University,mid,career-center,—,ndsu.coe@ndsu.edu,NDSU20,verified,https://www.ndsu.edu/engineering/about/contact,sent,,
Northeastern University,mid,club,—,acm@ccs.neu.edu,NORTHEASTERN20,medium (search-sourced),https://www.khoury.northeastern.edu/clubs_and_orgs/acm-student-chapter-arlington/,sent,,
Rutgers University,mid,dept,—,hello@soe.rutgers.edu,RUTGERS20,medium (search-sourced),https://soe.rutgers.edu/contact-us,sent,,
Stony Brook University,mid,career-center,—,sbucareercenter@stonybrook.edu,STONYBROOK20,verified,stonybrook.edu/career-center,sent,,
Binghamton University,mid,career-center,—,wcac@binghamton.edu,BINGHAMTON20,verified,binghamton.edu/watson,sent,,
NYU Tandon School of Engineering,mid,career-center,—,careers.tandonstudentlife@nyu.edu,NYUTANDON20,verified,engineering.nyu.edu,sent,,
UMBC,mid,career-center,—,careers@umbc.edu,UMBC20,verified,careers.umbc.edu,sent,,
George Mason University,mid,career-center,—,careers@gmu.edu,GMU20,verified,careers.gmu.edu,sent,,
James Madison University,mid,career-center,—,career@jmu.edu,JMU20,verified,jmu.edu/career,sent,,
Virginia Commonwealth University,mid,career-center,—,engrcareers@vcu.edu,VCU20,verified,egr.vcu.edu,sent,,
Howard University,mid,career-center,—,careerservices@howard.edu,HOWARD20,verified,careerservices.howard.edu,sent,,
University of Richmond,mid,career-center,—,careerservices@richmond.edu,RICHMOND20,verified,careerservices.richmond.edu,sent,,
Wake Forest University,mid,career-center,—,careers@wfu.edu,WAKEFOREST20,verified,opcd.wfu.edu,sent,,
UNC Charlotte,mid,career-center,—,career@uncc.edu,UNCC20,verified,career.charlotte.edu,sent,,
East Carolina University,mid,career-center,—,career@ecu.edu,ECU20,verified,career.ecu.edu,sent,,
College of Charleston,mid,career-center,—,careercenter@cofc.edu,COFC20,verified,charleston.edu/career-center,sent,,
NC A&T State University,mid,career-center,—,careerservices@ncat.edu,NCAT20,verified,ncat.edu/provost/career-services,sent,,
LSU,mid,career-center,—,career@lsu.edu,LSU20,verified,lsu.edu/career,sent,,
Xavier University of Louisiana,mid,career-center,—,ocs@xula.edu,XULA20,verified,xula.edu/ocs,sent,,
University of Louisiana Lafayette,mid,career-center,—,career@louisiana.edu,ULLAFAYETTE20,verified,louisiana.edu/career,sent,,
Texas State University,mid,career-center,—,CareerServices@txstate.edu,TXSTATE20,verified,careerservices.txst.edu,sent,,
UT Dallas,mid,career-center,—,jonssonschooljobs@utdallas.edu,UTDALLAS20,verified,engineering.utdallas.edu,sent,,
UT Arlington,mid,career-center,—,engcoop@uta.edu,UTARLINGTON20,verified,uta.edu/engineering,sent,,
Texas Tech University,mid,career-center,—,careercenter@ttu.edu,TEXASTECH20,verified,depts.ttu.edu/careercenter,sent,,
Trinity University San Antonio,mid,career-center,—,careerservices@trinity.edu,TRINITYSA20,verified,trinity.edu,sent,,
Sam Houston State University,mid,career-center,—,careersuccesscenter@shsu.edu,SHSU20,verified,shsu.edu,sent,,
Rose-Hulman Institute of Technology,mid,career-center,—,careers@rose-hulman.edu,ROSEHULMAN20,verified,rose-hulman.edu,sent,,
Butler University,mid,career-center,—,career@butler.edu,BUTLER20,verified,butler.edu,sent,,
Valparaiso University,mid,career-center,—,career.center@valpo.edu,VALPO20,verified,valpo.edu/career-center,sent,,
University of Dayton,mid,career-center,—,careerservices@udayton.edu,DAYTON20,verified,udayton.edu,sent,,
Miami University Ohio,mid,career-center,—,careercenter@MiamiOH.edu,MIAMIOH20,verified,miamioh.edu,sent,,
University of Akron,mid,career-center,—,career@uakron.edu,AKRON20,verified,uakron.edu/career,sent,,
Cleveland State University,mid,career-center,—,careers@csuohio.edu,CLEVELANDSTATE20,verified,csuohio.edu,sent,,
Calvin University,mid,career-center,—,career@calvin.edu,CALVIN20,verified,career.calvin.edu,sent,,
Michigan State University,mid,career-center,—,careers@egr.msu.edu,MSU20,verified,engineering.msu.edu,sent,,
Santa Clara University,mid,career-center,—,careercenter@scu.edu,SCU20,verified,scu.edu/careercenter,sent,,
Loyola Marymount University,mid,career-center,—,careers@lmu.edu,LMU20,verified,careers.lmu.edu,sent,,
San Jose State University,mid,career-center,—,careerhelp@sjsu.edu,SJSU20,verified,careercenter.sjsu.edu,sent,,
Cal Poly San Luis Obispo,mid,career-center,—,cs-recruiting@calpoly.edu,CALPOLYSLO20,verified,careerservices.calpoly.edu,sent,,
Chapman University,mid,career-center,—,career@chapman.edu,CHAPMAN20,verified,chapman.edu,sent,,
Harvey Mudd College,mid,career-center,—,career_services@hmc.edu,HARVEYMUDD20,verified,hmc.edu/career-services,sent,,
Gonzaga University,mid,career-center,—,careercenter@gonzaga.edu,GONZAGA20,verified,gonzaga.edu,sent,,
Seattle University,mid,career-center,—,careerengagement@seattleu.edu,SEATTLEU20,verified,seattleu.edu,sent,,
University of Portland,mid,career-center,—,career@up.edu,PORTLAND20,verified,up.edu,sent,,
University of San Francisco,mid,career-center,—,careerservices@usfca.edu,USF_CA20,verified,myusf.usfca.edu,sent,,
Bentley University,mid,career-center,—,GA_UCD@Bentley.edu,BENTLEY20,verified,careeredge.bentley.edu,sent,,
Worcester State University,mid,career-center,—,careerservices@worcester.edu,WORCESTERSTATE20,verified,worcester.edu,sent,,
UMass Lowell,mid,career-center,—,career_services@uml.edu,UMASSLOWELL20,verified,uml.edu,sent,,
Roger Williams University,mid,career-center,—,ccpd@rwu.edu,RWU20,verified,ccpd.rwu.edu,sent,,
Quinnipiac University,mid,career-center,—,QUCC@qu.edu,QUINNIPIAC20,verified,cas360.qu.edu,sent,,
University of Vermont,mid,career-center,—,career@uvm.edu,UVM20,verified,uvm.edu/career,sent,,
Clarkson University,mid,career-center,—,career@clarkson.edu,CLARKSON20,verified,clarkson.edu,sent,,
Union College Schenectady,mid,career-center,—,careercenter@union.edu,UNIONCOLLEGE20,verified,union.edu,sent,,
Ithaca College,mid,career-center,—,careers@ithaca.edu,ITHACA20,verified,careerservices.ithaca.edu,sent,,
Hofstra University,mid,career-center,—,CareerDesign@Hofstra.Edu,HOFSTRA20,verified,hofstra.edu,sent,,
Manhattan College,mid,career-center,—,careerdevelopment@manhattan.edu,MANHATTANCOLLEGE20,verified,inside.manhattan.edu,sent,,
CUNY City College,mid,career-center,—,engineering@ccny.cuny.edu,CCNY20,verified,ccny.cuny.edu/engineering,sent,,
Pace University,mid,career-center,—,careers@pace.edu,PACE20,verified,pace.edu/career-services,sent,,
Villanova University,mid,career-center,—,careers.info@villanova.edu,VILLANOVA20,verified,villanova.edu,sent,,
Lehigh University,mid,career-center,—,careercenter@lehigh.edu,LEHIGH20,verified,careercenter.lehigh.edu,sent,,
Temple University,mid,career-center,—,careercenter@temple.edu,TEMPLE20,verified,careercenter.temple.edu,sent,,
Bucknell University,mid,career-center,—,career@bucknell.edu,BUCKNELL20,verified,careercenter.bucknell.edu,sent,,
Lafayette College,mid,career-center,—,careers@lafayette.edu,LAFAYETTE20,verified,gateway.lafayette.edu,replied-do-not-contact,,Replied 2026-09-01: reviews resources twice/year; asked for NO follow-up emails and removal from list unless their Qualtrics survey is completed. Survey: lafayettec.az1.qualtrics.com/jfe/form/SV_eA700yUCA7MAnVb
Widener University,mid,career-center,—,careers@widener.edu,WIDENER20,verified,widener.edu,sent,,
Duquesne University,mid,career-center,—,careerdevelopment@duq.edu,DUQUESNE20,verified,duq.edu,sent,,
Towson University,mid,career-center,—,careercenter@towson.edu,TOWSON20,verified,towson.edu/careercenter,sent,,
Salisbury University,mid,career-center,—,careerservices@salisbury.edu,SALISBURY20,verified,salisbury.edu,sent,,
Christopher Newport University,mid,career-center,—,ccp@cnu.edu,CNU20,verified,cnu.edu/careerplanning,sent,,
Old Dominion University,mid,career-center,—,cds@odu.edu,ODU20,verified,odu.edu,sent,,
Radford University,mid,career-center,—,csc@radford.edu,RADFORD20,verified,radford.edu/career,sent,,
Appalachian State University,mid,career-center,—,careercenter@appstate.edu,APPSTATE20,verified,careers.appstate.edu,sent,,
Elon University,mid,career-center,—,lsbcareer@elon.edu,ELON20,verified,elon.edu,needs-contact,,
Winthrop University,mid,career-center,—,careerdev@winthrop.edu,WINTHROP20,verified,winthrop.edu/cdi,sent,,
Coastal Carolina University,mid,career-center,—,career@coastal.edu,COASTAL20,verified,coastal.edu/career,sent,,
Furman University,mid,career-center,—,career.engagement@furman.edu,FURMAN20,verified,furman.edu,sent,,
University of Central Arkansas,mid,career-center,—,bears4hire@uca.edu,UCA20,verified,uca.edu/career,sent,,
Georgetown University,mid,career-center,—,careercenter@georgetown.edu,GEORGETOWN20,verified,careercenter.georgetown.edu,sent,,
George Washington University,mid,career-center,—,seascareers@gwu.edu,GWU20,verified,engineering.gwu.edu,sent,,
American University,mid,career-center,—,careercenter@american.edu,AU10,verified,american.edu/careercenter,sent,,
University of Kentucky,mid,career-center,—,ukcareercenter@uky.edu,UKY10,verified,uky.edu/careercenter,sent,,
Auburn University,mid,career-center,—,explore@auburn.edu,,verified,career.auburn.edu,sent,,
University of Alabama,mid,career-center,—,career@ua.edu,BAMA10,verified,career.sa.ua.edu,sent,,
University of Kansas,mid,career-center,—,ucc@ku.edu,KU10,verified,career.ku.edu,sent,,
University of Nebraska Omaha,mid,career-center,—,careers@unomaha.edu,UNOMAHA20,verified,unomaha.edu,sent,,
Creighton University,mid,career-center,—,careercenter@creighton.edu,CREIGHTON20,verified,creighton.edu,sent,,
Xavier University Cincinnati,mid,career-center,—,career@xavier.edu,XAVIERCIN20,verified,xavier.edu/career,sent,,
Baldwin Wallace University,mid,career-center,—,career@bw.edu,BALDWINWALLACE20,verified,bw.edu/career-center,sent,,
Oberlin College,mid,career-center,—,career@oberlin.edu,OBERLIN20,verified,oberlin.edu/career,sent,,
Western Michigan University,mid,career-center,—,careercenter-hcob@wmich.edu,WMU20,verified,wmich.edu/business/career,needs-contact,,
DePaul University,mid,career-center,—,career_center@depaul.edu,DEPAULU20,verified,dehub.depaul.edu,sent,,
Northern Illinois University,mid,career-center,—,careerservices@niu.edu,NIU20,verified,niu.edu/career-services,sent,,
Bradley University,mid,career-center,—,careers@bradley.edu,BRADLEY20,verified,bradley.edu,sent,,
Southern Illinois University Carbondale,mid,career-center,—,careerdevelopment@siu.edu,SIUC20,verified,careerdevelopment.siu.edu,sent,,
Indiana State University,mid,career-center,—,isu-career-center@indstate.edu,INDIANASTATE20,verified,indstate.edu/career-center,sent,,
IUPUI IU Indianapolis,mid,career-center,—,ccas@iu.edu,IUPUI20,verified,career.indianapolis.iu.edu,sent,,
University of Evansville,mid,career-center,—,career@evansville.edu,EVANSVILLE20,verified,evansville.edu/career-center,sent,,
Drake University,mid,career-center,—,career.services@drake.edu,DRAKE20,verified,drake.edu/career,sent,,
Simpson College,mid,career-center,—,careers@simpson.edu,SIMPSON20,verified,simpson.edu,sent,,
Grinnell College,mid,career-center,—,career@grinnell.edu,GRINNELL20,verified,career.grinnell.edu,sent,,
Macalester College,mid,career-center,—,careerexploration@macalester.edu,MACALESTER20,verified,macalester.edu/career-exploration,sent,,
Minnesota State University Mankato,mid,career-center,—,cdc@mnsu.edu,MNSU20,verified,mnsu.edu,sent,,
Oxford,intl-uk,career-center,—,hello@careers.ox.ac.uk,OXFORD20,verified,careers.ox.ac.uk,pending,,
Cambridge,intl-uk,career-center,—,enquiries@careers.cam.ac.uk,CAMBRIDGE20,verified,careers.cam.ac.uk,pending,,
Imperial College London,intl-uk,career-center,—,careers@imperial.ac.uk,IMPERIAL20,verified,imperial.ac.uk/careers,pending,,
UCL,intl-uk,dept,—,cs.undergraduate-students@ucl.ac.uk,UCL20,verified,ucl.ac.uk/engineering/computer-science,pending,,
Edinburgh,intl-uk,career-center,—,careers@ed.ac.uk,EDINBURGH20,verified,ed.ac.uk/students/careers,pending,,
Manchester,intl-uk,career-center,—,careers@manchester.ac.uk,MANCHESTER20,verified,careers.manchester.ac.uk,pending,,
Warwick,intl-uk,dept,—,job-ads@dcs.warwick.ac.uk,WARWICK20,verified,warwick.ac.uk/fac/sci/dcs,pending,,
Bristol,intl-uk,dept,—,COMS-student-enquiries@bristol.ac.uk,BRISTOL20,verified,bristol.ac.uk,pending,,
Southampton,intl-uk,dept,—,ecs-studentoffice@soton.ac.uk,SOUTHAMPTON20,verified,ecs.soton.ac.uk,pending,,
Durham,intl-uk,dept,Emily Mitchell,emily.j.mitchell@durham.ac.uk,DURHAM20,verified,durham.ac.uk/departments/academic/computer-science,pending,,
Bath,intl-uk,dept,—,comp-sci-coordinators@bath.ac.uk,BATH20,verified,bath.ac.uk,pending,,
Glasgow,intl-uk,dept,Gail Reat,Gail.Reat@glasgow.ac.uk,GLASGOW20,verified,gla.ac.uk/schools/computing,pending,,
Nottingham,intl-uk,career-center,—,careers-team@nottingham.ac.uk,NOTTINGHAM20,verified,nottingham.ac.uk/careers,pending,,
Sheffield,intl-uk,career-center,—,careers@sheffield.ac.uk,SHEFFIELD20,verified,sheffield.ac.uk/careers,pending,,
St Andrews,intl-uk,career-center,—,careers@st-andrews.ac.uk,STANDREWS20,verified,st-andrews.ac.uk/careers/contact,pending,,
York,intl-uk,career-center,—,careers@york.ac.uk,YORK20,verified,york.ac.uk/students/work-volunteering-careers/about,pending,,
Waterloo,intl-canada,career-center,—,careers@uwaterloo.ca,WATERLOO20,verified,uwaterloo.ca/career-development,pending,,
Toronto,intl-canada,dept,—,cs.undergrad@utoronto.ca,TORONTO20,verified,web.cs.toronto.edu/contact-us,pending,,
UBC,intl-canada,career-center,—,career.centre@ubc.ca,UBC20,verified,students.ubc.ca,pending,,
McGill,intl-canada,career-center,—,careers.caps@mcgill.ca,MCGILL20,verified,mcgill.ca/careerresources,pending,,
Simon Fraser,intl-canada,career-center,—,careers@sfu.ca,SFU20,verified,sfu.ca/students/career,pending,,
Western University,intl-canada,career-center,—,careereducation@uwo.ca,WESTERNU20,verified,career.uwo.ca,pending,,
Queen's University,intl-canada,career-center,—,mycareer@queensu.ca,QUEENSU20,verified,careers.queensu.ca/contact,pending,,
Melbourne,intl-australia,career-center,—,careers-services@unimelb.edu.au,MELBOURNE20,verified,students.unimelb.edu.au/careers,pending,,
UNSW Sydney,intl-australia,career-center,—,employability@unsw.edu.au,UNSW20,verified,unsw.edu.au/engineering/cse,pending,,
Sydney,intl-australia,career-center,—,careers.information@sydney.edu.au,SYDNEY20,verified,sydney.edu.au/careers,pending,,
University of Queensland,intl-australia,career-center,—,employability@uq.edu.au,UQ20,verified,employability.uq.edu.au,pending,,
Trinity College Dublin,intl-ireland,career-center,—,careers@tcd.ie,TCD20,verified,tcd.ie/careers,pending,,
UCD,intl-ireland,career-center,—,careers@ucd.ie,UCD20,verified,ucd.ie/careers,pending,,
NUI Galway,intl-ireland,career-center,—,careers@universityofgalway.ie,NUIGALWAY20,verified,universityofgalway.ie/careers-development-centre,pending,,
Victoria University of Wellington,intl-newzealand,career-center,—,careers-service@vuw.ac.nz,VUW20,verified,wgtn.ac.nz/careers,pending,,
